createdAt,trend
2015-12-05T02:14:57Z,Greinke
2015-12-05T02:14:57Z,#TwitterAwakens
2015-12-05T02:14:57Z,#BlueNeighbourhood
2015-12-05T02:14:57Z,Robert Loggia
2015-12-05T02:14:57Z,#RDFamilyHoliday
2015-12-05T02:14:57Z,#UndateableLive
2015-12-05T02:14:57Z,Dodgers
2015-12-05T02:14:57Z,#ANTM
2015-12-05T02:14:57Z,Diamondbacks
2015-12-05T02:14:57Z,Joe Johnson
2015-12-05T02:14:57Z,Moments
2015-12-05T02:14:57Z,Cueto
2015-12-05T02:14:57Z,Bronco Mendenhall
2015-12-05T02:14:57Z,Aaron Hernandez
2015-12-05T02:14:57Z,John Lackey
2015-12-05T02:14:57Z,The Knicks
2015-12-05T02:14:57Z,Evander Kane
2015-12-05T02:14:57Z,Bud Weisser
2015-12-05T02:14:57Z,Manvel
2015-12-05T02:14:57Z,Dean Wade
2015-12-05T02:14:57Z,Kyle Porter
2015-12-05T02:14:57Z,Parkview Baptist
2015-12-05T02:14:57Z,Lance Thomas
2015-12-05T02:14:57Z,Jeff Choate
2015-12-05T02:14:57Z,Jared Dudley
2015-12-05T02:14:57Z,End 1
2015-12-05T02:14:57Z,Tom Holmoe
2015-12-05T02:14:57Z,#MuslimApartment
2015-12-05T02:14:57Z,#TotallyAbsurdWars
2015-12-05T02:14:57Z,#AmazingRace
2015-12-05T02:14:57Z,#21ProjectQandA
2015-12-05T02:14:57Z,#NASCARawards
2015-12-05T02:14:57Z,#GirlMeetsTheNewYear
2015-12-05T02:14:57Z,#MarriageBootCamp
2015-12-05T02:14:57Z,#Grimm
2015-12-05T02:14:57Z,#KIISJingleBall
2015-12-05T02:14:57Z,#Bellator147
2015-12-05T02:14:57Z,#MasterChefJunior
2015-12-05T02:14:57Z,#DrKen
2015-12-05T02:14:57Z,#Cygnus
2015-12-05T02:14:57Z,#TashfeenMalik
2015-12-05T02:14:57Z,#Reign
2015-12-05T02:14:57Z,#femsplainactually
2015-12-05T02:14:57Z,#BeemieAwards
2015-12-05T02:14:57Z,#NYKvsBKN
2015-12-05T02:14:57Z,#WizSuns
2015-12-05T02:14:57Z,#Saban15
2015-12-05T02:14:57Z,#FuegoFriday
2015-12-05T02:14:57Z,#CabFrancDay
2015-12-05T02:14:57Z,#engagechat
2015-12-05T02:14:57Z,Greinke
2015-12-05T02:14:57Z,#TwitterAwakens
2015-12-05T02:14:57Z,#BlueNeighbourhood
2015-12-05T02:14:57Z,Robert Loggia
2015-12-05T02:14:57Z,#RDFamilyHoliday
2015-12-05T02:14:57Z,#UndateableLive
2015-12-05T02:14:57Z,Dodgers
2015-12-05T02:14:57Z,#ANTM
2015-12-05T02:14:57Z,Diamondbacks
2015-12-05T02:14:57Z,Joe Johnson
2015-12-05T02:14:57Z,Moments
2015-12-05T02:14:57Z,Cueto
2015-12-05T02:14:57Z,Bronco Mendenhall
2015-12-05T02:14:57Z,Aaron Hernandez
2015-12-05T02:14:57Z,John Lackey
2015-12-05T02:14:57Z,The Knicks
2015-12-05T02:14:57Z,Evander Kane
2015-12-05T02:14:57Z,Bud Weisser
2015-12-05T02:14:57Z,Manvel
2015-12-05T02:14:57Z,Dean Wade
2015-12-05T02:14:57Z,Kyle Porter
2015-12-05T02:14:57Z,Parkview Baptist
2015-12-05T02:14:57Z,Lance Thomas
2015-12-05T02:14:57Z,Jeff Choate
2015-12-05T02:14:57Z,Jared Dudley
2015-12-05T02:14:57Z,End 1
2015-12-05T02:14:57Z,Tom Holmoe
2015-12-05T02:14:57Z,#MuslimApartment
2015-12-05T02:14:57Z,#TotallyAbsurdWars
2015-12-05T02:14:57Z,#AmazingRace
2015-12-05T02:14:57Z,#21ProjectQandA
2015-12-05T02:14:57Z,#NASCARawards
2015-12-05T02:14:57Z,#GirlMeetsTheNewYear
2015-12-05T02:14:57Z,#MarriageBootCamp
2015-12-05T02:14:57Z,#Grimm
2015-12-05T02:14:57Z,#KIISJingleBall
2015-12-05T02:14:57Z,#Bellator147
2015-12-05T02:14:57Z,#MasterChefJunior
2015-12-05T02:14:57Z,#DrKen
2015-12-05T02:14:57Z,#Cygnus
2015-12-05T02:14:57Z,#TashfeenMalik
2015-12-05T02:14:57Z,#Reign
2015-12-05T02:14:57Z,#femsplainactually
2015-12-05T02:14:57Z,#BeemieAwards
2015-12-05T02:14:57Z,#NYKvsBKN
2015-12-05T02:14:57Z,#WizSuns
2015-12-05T02:14:57Z,#Saban15
2015-12-05T02:14:57Z,#FuegoFriday
2015-12-05T02:14:57Z,#CabFrancDay
2015-12-05T02:14:57Z,#engagechat
2015-12-05T02:19:48Z,Greinke
2015-12-05T02:19:48Z,#TwitterAwakens
