createdAt,trend
2015-12-05T11:18:52Z,#KIISJingleBall
2015-12-05T11:18:52Z,#ICallDibsOn
2015-12-05T11:18:52Z,#ActionDay
2015-12-05T11:18:52Z,#CaliChristmas
2015-12-05T11:18:52Z,#VisionToReality
2015-12-05T11:18:52Z,Pelicans
2015-12-05T11:18:52Z,Niall and Selena
2015-12-05T11:18:52Z,Dense Fog Advisory
2015-12-05T11:18:52Z,Page 1
2015-12-05T11:18:52Z,Duval
2015-12-05T11:18:52Z,La Habra
2015-12-05T11:18:52Z,San Bernardino
2015-12-05T11:18:52Z,Scott Weiland
2015-12-05T11:18:52Z,Greinke
2015-12-05T11:18:52Z,Hail Mary
2015-12-05T11:18:52Z,Anthony Davis
2015-12-05T11:18:52Z,Jay Z
2015-12-05T11:18:52Z,Lions
2015-12-05T11:18:52Z,Tashfeen Malik
2015-12-05T11:18:52Z,Moments
2015-12-05T11:18:52Z,MSNBC
2015-12-05T11:18:52Z,Aaron Rodgers
2015-12-05T11:18:52Z,Emerald City
2015-12-05T11:18:52Z,#SmallBizSatUK
2015-12-05T11:18:52Z,#N1CanalFiesta49
2015-12-05T11:18:52Z,#KarachiVotesForMQM
2015-12-05T11:18:52Z,#1989TourBrisbane
2015-12-05T11:18:52Z,#unlvmbb
2015-12-05T11:18:52Z,#ChristmasShoppingAtTheMovies
2015-12-05T11:18:52Z,#Caturday
2015-12-05T11:18:52Z,#ALDUBRendezvous
2015-12-05T11:18:52Z,#ImHornyBecause
2015-12-05T11:18:52Z,#splatfest
2015-12-05T11:18:52Z,#SabadoDeGanarSeguidores
2015-12-05T11:18:52Z,#earthlawtribunal
2015-12-05T11:18:52Z,#Hoodslam
2015-12-05T11:18:52Z,#RIPChrisCarney
2015-12-05T11:18:52Z,#DelhiOddEvenLogic
2015-12-05T11:18:52Z,#TheWiz
2015-12-05T11:18:52Z,#NationalCookieDay
2015-12-05T11:18:52Z,#BlueNeighbourhood
2015-12-05T11:18:52Z,#TwitterAwakens
2015-12-05T11:18:52Z,#ANTM
2015-12-05T11:18:52Z,#GBvsDET
2015-12-05T11:18:52Z,#TheGameAwards
2015-12-05T11:18:52Z,#NASCARawards
2015-12-05T11:18:52Z,#UndateableLive
2015-12-05T11:18:52Z,#PitMad
2015-12-05T11:18:52Z,#RDFamilyHoliday
2015-12-05T11:18:52Z,#Packers
2015-12-05T11:23:54Z,#KIISJingleBall
2015-12-05T11:23:54Z,#ICallDibsOn
2015-12-05T11:23:54Z,#ActionDay
2015-12-05T11:23:54Z,#VisionToReality
2015-12-05T11:23:54Z,#CaliChristmas
2015-12-05T11:23:54Z,Niall and Selena
2015-12-05T11:23:54Z,Dense Fog Advisory
2015-12-05T11:23:54Z,Page 1
2015-12-05T11:23:54Z,Duval
2015-12-05T11:23:54Z,La Habra
2015-12-05T11:23:54Z,San Bernardino
2015-12-05T11:23:54Z,Scott Weiland
2015-12-05T11:23:54Z,Greinke
2015-12-05T11:23:54Z,Hail Mary
2015-12-05T11:23:54Z,Anthony Davis
2015-12-05T11:23:54Z,Jay Z
2015-12-05T11:23:54Z,Lions
2015-12-05T11:23:54Z,Tashfeen Malik
2015-12-05T11:23:54Z,Moments
2015-12-05T11:23:54Z,MSNBC
2015-12-05T11:23:54Z,Aaron Rodgers
2015-12-05T11:23:54Z,Emerald City
2015-12-05T11:23:54Z,#SmallBizSatUK
2015-12-05T11:23:54Z,#N1CanalFiesta49
2015-12-05T11:23:54Z,#KarachiVotesForMQM
2015-12-05T11:23:54Z,#1989TourBrisbane
2015-12-05T11:23:54Z,#unlvmbb
2015-12-05T11:23:54Z,#ChristmasShoppingAtTheMovies
2015-12-05T11:23:54Z,#Caturday
2015-12-05T11:23:54Z,#ALDUBRendezvous
